CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,21.0
48002,Abanto y Ciérvana-Abanto Zierbena,53.0
48911,Ajangiz,12.0
48912,Alonsotegi,22.0
48003,Amorebieta-Etxano,100.0
48004,Amoroto,9.0
48005,Arakaldo,6.0
48006,Arantzazu,8.0
48093,Areatza,20.0
48009,Arrankudiaga,18.0
48914,Arratzu,9.0
48010,Arrieta,12.0
48011,Arrigorriaga,31.0
48023,Artea,16.0
48008,Artzentales,16.0
48091,Atxondo,18.0
48070,Aulesti,16.0
48012,Bakio,24.0
48090,Balmaseda,12.0
48013,Barakaldo,52.0
48014,Barrika,21.0
48015,Basauri,24.0
48092,Bedia,18.0
48016,Berango,36.0
48017,Bermeo,44.0
48018,Berriatua,17.0
48019,Berriz,26.0
48021,Busturia,20.0
48901,Derio,33.0
48026,Dima,20.0
48027,Durango,44.0
48028,Ea,20.0
48031,Elantxobe,8.0
48032,Elorrio,39.0
48902,Erandio,54.0
48033,Ereño,8.0
48034,Ermua,41.0
48079,Errigoiti,12.0
48029,Etxebarri,20.0
48030,Etxebarria,18.0
48906,Forua,20.0
48035,Fruiz,10.0
48036,Galdakao,113.0
48037,Galdames,18.0
48038,Gamiz-Fika,18.0
48039,Garai,8.0
48040,Gatika,28.0
48041,Gautegiz Arteaga,24.0
48046,Gernika-Lumo,26.0
48044,Getxo,86.0
48047,Gizaburuaga,9.0
48042,Gordexola,25.0
48043,Gorliz,31.0
48045,Güeñes,39.0
48048,Ibarrangelu,12.0
48094,Igorre,19.0
48049,Ispaster,16.0
48910,Iurreta,25.0
48050,Izurtza,8.0
48907,Kortezubi,7.0
48052,Larrabetzu,26.0
48053,Laukiz,18.0
48054,Leioa,67.0
48057,Lekeitio,14.0
48055,Lemoa,25.0
48056,Lemoiz,18.0
48081,Lezama,42.0
48903,Loiu,45.0
48058,Mallabia,18.0
48060,Markina-Xemein,20.0
48061,Maruri-Jatabe,20.0
48059,Mañaria,11.0
48062,Mendata,8.0
48063,Mendexa,8.0
48064,Meñaka,18.0
48066,Morga,8.0
48068,Mundaka,25.0
48069,Mungia,131.0
48007,Munitibar-Arbatzegi Gerrikaitz,12.0
48908,Murueta,7.0
48067,Muxika,26.0
48909,Nabarniz,8.0
48073,Ondarroa,18.0
48075,Orozko,46.0
48083,Ortuella,22.0
48072,Otxandio,17.0
48077,Plentzia,27.0
48078,Portugalete,22.0
48082,Santurtzi,30.0
48084,Sestao,50.0
48904,Sondika,29.0
48085,Sopela,37.0
48086,Sopuerta,46.0
48076,Sukarrieta,7.0
48087,Trucios-Turtzioz,11.0
48065,Ugao-Miraballes,19.0
48089,Urduliz,26.0
48080,Valle de Trápaga-Trapagaran,32.0
48095,Zaldibar,25.0
48096,Zalla,65.0
48905,Zamudio,25.0
48097,Zaratamo,22.0
48024,Zeanuri,18.0
48025,Zeberio,17.0
48913,Zierbena,19.0
48915,Ziortza-Bolibar,8.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,1.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,1.0
48020,Bilbao,0.0
